City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
104,Saint-Ambroise,CA,48.5501,-71.3324,-18.8,69,7,4.61,clear sky
105,Stiubieni,RO,47.9667,26.7833,37.27,98,100,7.2,light snow
106,Cidreira,BR,-30.1811,-50.2056,73.99,95,100,2.39,overcast clouds
107,Fernley,US,39.608,-119.2518,50.86,46,0,3.31,clear sky
108,Orai,IN,25.9833,79.4667,45.82,83,0,6.06,clear sky
109,El Reno,US,35.5323,-97.955,35.24,69,100,6.91,snow
110,Khatanga,RU,71.9667,102.5,1.2,88,100,13.62,overcast clouds
111,Yellowknife,CA,62.456,-114.3525,3.72,85,100,4.61,light snow
112,Klaksvik,FO,62.2266,-6.589,36.52,80,100,31.52,overcast clouds
113,Zaraza,VE,9.3503,-65.3245,74.77,78,18,9.42,few clouds
114,Stromness,GB,58.965,-3.296,44.85,85,100,43.64,overcast clouds
115,Deputatskiy,RU,69.3,139.9,-12.23,96,100,5.28,overcast clouds
116,Mata,PT,40.683,-7.4592,43.81,83,8,5.68,clear sky
117,Upernavik,GL,72.7868,-56.1549,6.62,80,100,19.28,overcast clouds
118,Sumbuya,SL,7.6467,-11.9611,72.7,95,7,2.15,clear sky
119,Ukiah,US,39.1502,-123.2078,58.57,63,0,0.87,clear sky
120,Shima,CN,24.4478,117.8111,62.22,86,54,0.78,broken clouds
121,Kaitangata,NZ,-46.2817,169.8464,55.92,56,21,14.56,few clouds
122,New Norfolk,AU,-42.7826,147.0587,71.1,93,100,2.71,overcast clouds
123,Barranca,PE,-10.75,-77.7667,71.62,78,97,6.89,overcast clouds
124,South Venice,US,27.0531,-82.4243,66.97,94,100,16.11,mist
125,Lithakia,GR,37.7167,20.8333,41.59,53,63,2.37,broken clouds
126,Bredasdorp,ZA,-34.5322,20.0403,64.27,88,19,3.44,few clouds
127,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,16.39,38,75,6.71,broken clouds
128,Tezu,IN,27.9167,96.1667,56.66,66,98,2.28,overcast clouds
129,Bulgan,MN,48.8125,103.5347,-8.27,88,7,3.6,clear sky
130,Thompson,CA,55.7435,-97.8558,-2.04,71,40,13.8,scattered clouds
131,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.05,83,2,22.3,clear sky
132,Aklavik,CA,68.2191,-135.0107,0.43,71,75,11.5,broken clouds
133,Kapaa,US,22.0752,-159.319,79.12,71,75,1.99,broken clouds
134,Tondano,ID,1.3038,124.9112,77.09,71,75,3.51,broken clouds
135,Les Cayes,HT,18.2,-73.75,75.15,80,34,3.6,scattered clouds
136,Kochi,IN,9.9399,76.2602,73.38,85,100,4.5,overcast clouds
137,Malegaon,IN,20.55,74.5333,53.94,49,0,5.86,clear sky
138,Pakenham,AU,-38.0667,145.4833,83.19,76,85,5.99,overcast clouds
139,Clyde River,CA,70.4692,-68.5914,-7.37,77,100,25.32,snow
140,Trairi,BR,-3.2778,-39.2689,77.74,89,99,8.84,overcast clouds
141,Shakhovskaya,RU,56.0283,35.5097,0.91,100,100,5.48,overcast clouds
142,Kirakira,SB,-10.4544,161.9205,79.84,86,100,8.14,overcast clouds
143,Kankon,IN,15.0167,74.0167,67.21,75,2,4.56,clear sky
144,Bambous Virieux,MU,-20.3428,57.7575,71.22,73,29,9.75,scattered clouds
145,Talnakh,RU,69.4865,88.3972,2.21,96,100,15.26,light snow
146,Ust-Tsilma,RU,65.441,52.1498,0.99,99,85,3.67,overcast clouds
147,Constantine,DZ,36.365,6.6147,33.21,80,0,1.14,clear sky
148,Dikson,RU,73.5069,80.5464,12.7,93,100,27.76,light snow
149,Pangnirtung,CA,66.1451,-65.7125,-22.83,97,100,4.09,overcast clouds
150,Mountain Home,US,43.133,-115.6912,27.34,93,46,1.66,scattered clouds
151,Oranjestad,AW,12.524,-70.027,78.75,78,20,14.97,few clouds
152,Antsohihy,MG,-14.8796,47.9875,71.76,83,61,7.49,broken clouds
153,Flinders,AU,-34.5833,150.8552,81.81,61,12,5.99,few clouds
154,Chuy,UY,-33.6971,-53.4616,71.17,90,100,14.9,overcast clouds
155,Bijie,CN,27.3125,105.2942,37.2,96,100,4.38,overcast clouds
156,Corrientes,AR,-27.4806,-58.8341,85.96,66,92,8.05,light rain
157,Afrikanda,RU,67.4429,32.7828,0.82,99,96,2.73,overcast clouds
158,Mabaruma,GY,8.2,-59.7833,69.76,83,99,3.44,overcast clouds
159,Ponta Do Sol,PT,32.6667,-17.1,60.71,68,59,6.06,broken clouds
160,Palmer,US,42.1584,-72.3287,18.21,57,0,4.61,clear sky
161,Tahta,EG,26.7693,31.5021,43.12,57,0,5.79,clear sky
162,Ancud,CL,-41.8697,-73.8203,71.13,78,0,1.12,clear sky
163,Inhambane,MZ,-23.865,35.3833,77.31,87,86,8.52,overcast clouds
164,Butaritari,KI,3.0707,172.7902,82.08,78,14,13.49,few clouds
165,Machado,BR,-21.6747,-45.9197,68.56,90,98,2.13,overcast clouds
166,Tukrah,LY,32.5341,20.5791,52.75,63,100,17.54,overcast clouds
167,East London,ZA,-33.0153,27.9116,72.97,92,26,2.84,scattered clouds
168,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,73,0,14.97,clear sky
169,Khani,GE,41.9563,42.9566,29.77,98,100,1.25,light snow
170,Takoradi,GH,4.8845,-1.7554,78.55,88,0,5.48,clear sky
171,Falmouth,GB,50.1544,-5.0711,46.98,93,20,6.91,few clouds
172,Mbuji-Mayi,CD,-6.15,23.6,67.73,94,100,1.95,overcast clouds
173,Cabra,ES,37.4725,-4.4421,53.65,63,97,1.01,overcast clouds
174,Bandarbeyla,SO,9.4942,50.8122,71.74,71,78,13.2,broken clouds
175,Pokhara,NP,28.2333,83.9833,42.78,55,12,5.41,few clouds
176,Maloy,NO,61.9353,5.1136,46.13,95,100,11.01,moderate rain
177,Westport,US,41.1415,-73.3579,25.32,46,0,5.99,clear sky
178,Chokurdakh,RU,70.6333,147.9167,-27.67,97,33,12.37,scattered clouds
179,Seddon,AU,-37.8068,144.8916,87.35,66,40,11.01,scattered clouds
180,Kargasok,RU,59.0556,80.8572,-17.54,100,100,3.8,overcast clouds
181,Naze,JP,28.3667,129.4833,63.52,69,81,6.58,broken clouds
182,Marawi,PH,7.9986,124.2928,69.66,73,92,0.83,overcast clouds
183,Hasaki,JP,35.7333,140.8333,43.29,64,80,8.88,broken clouds
184,Buraydah,SA,26.326,43.975,55.85,30,0,12.8,clear sky
185,Yantzaza,EC,-3.8278,-78.7594,66.56,98,95,1.23,overcast clouds
186,Richards Bay,ZA,-28.783,32.0377,73.0,96,34,6.55,scattered clouds
187,Waingapu,ID,-9.6567,120.2641,83.86,72,100,14.23,overcast clouds
188,Srednekolymsk,RU,67.45,153.6833,-42.18,100,53,3.49,broken clouds
189,Leningradskiy,RU,69.3833,178.4167,-25.44,90,8,3.56,clear sky
190,Vila,PT,42.0304,-8.1588,39.33,75,2,4.52,clear sky
191,Vardo,NO,70.3705,31.1107,25.77,72,100,15.88,overcast clouds
192,Saint Anthony,US,45.0205,-93.218,25.12,75,0,5.99,clear sky
193,Dinghai,CN,26.2847,119.7936,56.32,88,17,4.45,few clouds
194,Belmonte,BR,-15.8631,-38.8828,75.7,87,100,6.89,overcast clouds
195,Lasa,IT,46.6166,10.7002,44.06,53,17,6.35,few clouds
196,Blind River,CA,46.1834,-82.9582,17.71,74,100,13.82,overcast clouds
197,Wajima,JP,37.4,136.9,39.88,65,40,3.44,scattered clouds
198,San Carlos,VE,9.6612,-68.5827,76.46,50,13,4.79,few clouds
199,Fomboni,KM,-12.28,43.7425,81.93,69,100,9.06,overcast clouds
200,Pekan,MY,3.4836,103.3996,71.71,78,100,8.75,overcast clouds
201,Kieta,PG,-6.2167,155.6333,81.34,81,100,4.68,light rain
202,Floro,NO,61.5996,5.0328,46.36,93,100,26.46,light intensity shower rain
203,Bethel,US,41.3712,-73.414,22.57,55,0,5.75,clear sky
